prediction,rating
6.7962017,0
5.596935,0
4.941093,0
4.3877544,0
4.056202,0
3.8006117,0
3.5522802,0
3.45442,0
3.408651,0
3.3860135,0
3.1801064,0
3.0920677,0
3.0443556,0
3.03192,0
2.980732,0
2.9287996,8
2.913356,0
2.8484206,0
2.8327734,0
2.771597,0
2.7454357,0
2.7204251,0
2.7173314,0
2.6552315,0
2.6543703,0
2.6013951,0
2.5432208,0
2.517243,0
2.5069387,0
2.491035,0
2.4065022,0
2.4041996,0
2.396456,0
2.3952823,0
2.381289,0
2.3667154,0
2.3600755,0
2.2138662,0
2.1217244,0
2.1143568,0
2.077599,0
2.0076494,8
1.9945712,0
1.9657053,0
1.908617,0
1.7949685,0
1.7079852,5
1.6987209,0
1.6609741,0
1.6194232,0
1.6064777,8
1.6055152,0
1.592571,0
1.5810719,0
1.5612295,0
1.5198315,0
1.479306,0
1.4565046,0
1.4312352,9
1.4281106,0
1.402497,0
1.3596042,0
1.3571396,0
1.3175988,0
1.3029873,0
1.2898464,0
1.2852647,0
1.2236767,0
1.2100501,0
1.2089438,0
1.2048209,0
1.1940683,0
1.1934191,0
1.1918256,0
1.1464231,0
1.129272,0
1.0852582,0
1.0761466,0
1.0735648,10
1.0483525,0
1.0375807,0
1.0332154,8
1.0312234,0
1.0230291,0
0.9943836,0
0.96482694,8
0.9639101,0
0.9546478,0
0.9369026,0
0.9278064,0
0.9155219,0
0.90768564,0
0.89371675,0
0.8662989,0
0.86537063,0
0.8653425,0
0.85183585,0
0.8059671,0
0.7738385,0
0.7576219,0
0.75537854,0
0.7440405,0
0.7322825,0
0.729215,0
0.7108997,0
0.66723037,0
0.65596414,0
0.64206046,0
0.6254169,0
0.59403735,0
0.56921685,0
0.5495594,0
0.54565674,0
0.5387646,0
0.5278188,0
0.51413167,0
0.48889005,8
0.47785103,0
0.4753183,0
0.46790627,0
0.46011698,0
0.450745,0
0.4255153,0
0.38549215,0
0.3721635,0
0.37150693,0
0.34246337,0
0.32491252,0
0.3122357,8
0.30466542,0
0.28874993,0
0.2865794,0
0.28577682,0
0.28099793,0
0.27893448,8
0.23390284,0
0.22504371,0
0.22008872,0
0.21074986,0
0.20810157,0
0.18987629,0
0.18636581,0
0.16811322,0
0.16800065,0
0.14330378,0
0.12961985,0
0.09898077,9
0.08126421,0
0.069204666,0
0.046102643,0
0.025350392,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,9
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-0.006515622,0
-0.020367816,0
-0.026278537,0
-0.05201932,0
-0.08168329,0
-0.09455103,0
-0.09973848,0
-0.16122152,0
-0.16147703,0
-0.16830993,0
-0.19040045,0
-0.20201151,0
-0.24227063,0
-0.24782667,9
-0.2512893,0
-0.2685045,0
-0.2735924,0
-0.31818783,0
-0.32060236,0
-0.3354144,0
-0.36693656,0
-0.45082152,0
-0.46564686,0
-0.4701045,0
-0.47882935,0
-0.5236126,0
-0.57317156,10
-0.60727847,0
-0.68690294,0
-0.7344597,0
-0.813311,0
-1.0957313,0
-1.1024805,0
-1.2404075,0
-1.3571961,0
-1.3915892,0
-1.4561738,0
-1.497708,0
-1.5677172,0
-1.8914574,0
-2.177648,0
-2.1817453,0
-3.337615,0
-4.0455985,7
